day_of_week,nb_customers_on_day,open,promotion,school_holiday,state_hol_0,state_hol_1,state_hol_2,state_hol_3,sales
7,0,0,0,0,1,0,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
3,657,1,1,0,1,0,0,0,6907.029702970297
2,862,1,0,0,1,0,0,0,6828.537931034482
3,591,1,1,0,1,0,0,0,6413.790129372304
4,569,1,0,0,1,0,0,0,5072.019741564967
1,321,1,1,0,1,0,0,0,3945.8333333333335
6,1367,1,0,0,1,0,0,0,10383.051859099804
4,0,0,1,0,0,1,0,0,0.0
2,546,1,1,0,1,0,0,0,6255.412844036698
4,968,1,0,1,1,0,0,0,7684.157284768212
4,472,1,0,0,1,0,0,0,4433.312154696133
7,0,0,0,0,1,0,0,0,0.0
1,965,1,0,0,1,0,0,0,7507.31095890411
2,804,1,0,1,1,0,0,0,6792.772479564032
3,499,1,1,1,1,0,0,0,5597.53734939759
1,1337,1,1,1,1,0,0,0,12802.706878306879
3,560,1,0,0,1,0,0,0,5072.019741564967
3,461,1,0,1,1,0,0,0,4360.727244582044
3,866,1,1,0,1,0,0,0,8235.41917211329
7,0,0,0,0,1,0,0,0,0.0
1,1367,1,1,0,1,0,0,0,15185.363636363636
2,642,1,1,0,1,0,0,0,7094.018971848225
5,0,0,1,1,0,0,1,0,0.0
6,1139,1,0,0,1,0,0,0,9170.234093637455
6,0,0,0,0,1,0,0,0,0.0
2,515,1,1,1,1,0,0,0,5930.218888888889
3,355,1,1,1,1,0,0,0,4239.611111111111
1,1063,1,1,0,1,0,0,0,10764.505555555555
7,0,0,0,0,1,0,0,0,0.0
4,562,1,1,0,1,0,0,0,6042.1271105447595
7,0,0,0,0,1,0,0,0,0.0
2,927,1,1,1,1,0,0,0,9170.389438943894
6,894,1,0,0,1,0,0,0,8021.107382550335
2,594,1,0,0,1,0,0,0,5248.391816920943
2,533,1,1,0,1,0,0,0,6255.412844036698
7,0,0,0,0,1,0,0,0,0.0
2,709,1,1,0,1,0,0,0,7430.731629392972
1,484,1,1,0,1,0,0,0,5844.941979522185
4,435,1,1,0,1,0,0,0,4966.260135135135
2,1239,1,1,0,1,0,0,0,11187.59872611465
6,373,1,0,0,1,0,0,0,3469.0105660377358
4,642,1,0,0,1,0,0,0,5538.52265625
3,421,1,1,0,1,0,0,0,4843.489473684211
5,394,1,0,0,1,0,0,0,4016.1594488188975
5,761,1,1,0,1,0,0,0,7564.41279620853
3,627,1,0,0,1,0,0,0,5456.4825026511135
2,731,1,1,0,1,0,0,0,7650.754653130288
5,941,1,1,1,1,0,0,0,8597.108353510896
4,1157,1,1,0,1,0,0,0,10313.36797274276
1,720,1,1,0,1,0,0,0,8051.409337676439
5,697,1,0,0,1,0,0,0,6363.0074349442375
6,534,1,0,0,1,0,0,0,5261.591693290735
6,333,1,0,0,1,0,0,0,3060.623910336239
2,430,1,1,1,1,0,0,0,5290.899317406143
4,607,1,0,0,1,0,0,0,5248.391816920943
3,402,1,1,0,1,0,0,0,4753.756345177665
3,532,1,0,0,1,0,0,0,4840.990672884744
5,406,1,0,0,1,0,0,0,4050.9443155452436
2,828,1,0,0,1,0,0,0,6558.377471264368
3,582,1,0,0,1,0,0,0,5166.616734932709
4,852,1,1,1,1,0,0,0,8058.9481292517
5,709,1,1,0,1,0,0,0,7085.268030862127
2,1178,1,1,1,1,0,0,0,10914.898340248963
2,634,1,0,0,1,0,0,0,5456.4825026511135
2,517,1,1,0,1,0,0,0,5930.218888888889
6,905,1,0,0,1,0,0,0,8021.107382550335
4,581,1,0,0,1,0,0,0,5277.985940246046
4,657,1,1,0,0,1,0,0,6693.42872687704
2,485,1,1,0,1,0,0,0,5700.177777777778
4,528,1,0,1,1,0,0,0,4791.989032901296
4,410,1,0,0,1,0,0,0,4137.462809917355
5,445,1,0,0,1,0,0,0,4523.0251121076235
6,367,1,0,0,1,0,0,0,3469.0105660377358
2,753,1,1,0,1,0,0,0,7839.781362007168
1,494,1,0,0,1,0,0,0,4680.334035827186
1,408,1,0,0,1,0,0,0,4151.997206703911
3,648,1,1,0,1,0,0,0,6653.97895902547
7,0,0,0,0,1,0,0,0,0.0
2,1044,1,0,0,1,0,0,0,7849.09402241594
5,719,1,0,0,1,0,0,0,6480.836948915326
6,345,1,0,0,1,0,0,0,3258.3040935672516
3,566,1,1,1,1,0,0,0,6166.070807453416
2,777,1,1,0,1,0,0,0,8038.724137931034
4,1189,1,1,0,1,0,0,0,10313.36797274276
5,998,1,1,1,1,0,0,0,9256.547286821706
6,297,1,0,0,1,0,0,0,2765.766101694915
2,438,1,0,1,1,0,0,0,4302.787535410765
2,1099,1,1,0,1,0,0,0,10039.902077151335
1,323,1,0,0,1,0,0,0,3352.6308724832215
2,449,1,0,0,1,0,0,0,4360.727244582044
3,614,1,1,0,1,0,0,0,6413.790129372304
1,601,1,1,1,1,0,0,0,7156.923618090453
4,501,1,1,1,1,0,0,0,5426.836538461538
2,580,1,0,1,1,0,0,0,5166.616734932709
4,769,1,1,0,1,0,0,0,7726.496010079798
3,1018,1,1,1,1,0,0,0,9256.547286821706
3,717,1,0,0,1,0,0,0,6102.541161455009
4,1139,1,0,0,1,0,0,0,8394.735354927636
7,0,0,0,0,1,0,0,0,0.0
5,338,1,0,0,1,0,0,0,3468.449438202247
1,1236,1,1,0,1,0,0,0,12011.946308724831
1,858,1,0,0,1,0,0,0,6951.38441890166
2,1476,1,0,0,1,0,0,0,9908.237831858407
2,737,1,1,0,1,0,0,0,7650.754653130288
3,701,1,0,1,1,0,0,0,5893.045020463847
5,282,1,1,0,1,0,0,0,3346.89
5,710,1,0,0,1,0,0,0,6480.836948915326
2,421,1,0,0,1,0,0,0,4186.532322426177
6,380,1,0,0,1,0,0,0,3582.193893129771
2,720,1,1,0,1,0,0,0,7543.944910179641
1,612,1,0,1,1,0,0,0,5650.761194029851
1,863,1,0,1,1,0,0,0,7529.817757009346
4,642,1,0,0,1,0,0,0,5538.52265625
6,544,1,0,0,1,0,0,0,5261.591693290735
2,1046,1,0,1,1,0,0,0,8386.979452054795
